keyword_count,text_length,word_count,avg_word_length,url_count,email_count,exclamation_count,question_count,dollar_count
3,1057,197,4.370558375634518,0,0,4,0,0
2,286,51,4.627450980392157,0,0,0,0,0
3,2257,315,6.1682539682539685,0,0,0,0,0
2,2459,514,3.7859922178988326,0,0,0,0,1
0,115,17,5.823529411764706,0,0,0,0,0
0,1161,217,4.354838709677419,0,0,3,3,1
0,31,4,7.0,0,0,0,0,0
2,754,121,5.239669421487603,0,0,1,0,0
2,885,152,4.828947368421052,0,0,1,0,0
2,39,8,4.0,0,0,0,0,0
1,620,120,4.175,0,0,1,3,0
0,714,126,4.674603174603175,0,0,7,4,0
2,565,95,4.957894736842105,0,0,0,0,0
1,4356,720,5.051388888888889,0,0,0,0,0
1,211,40,4.3,0,0,0,0,0
2,944,175,4.4,0,0,0,0,0
1,469,76,5.184210526315789,0,0,0,4,0
7,6726,1167,4.764353041988003,0,0,3,0,8
0,370,69,4.3768115942028984,0,0,0,1,0
1,351,71,3.9577464788732395,0,0,0,0,0
1,1067,173,5.173410404624278,0,0,0,0,0
0,208,39,4.358974358974359,0,0,0,0,0
2,445,93,3.795698924731183,0,0,1,0,2
2,3226,268,11.041044776119403,0,0,8,0,4
2,2163,364,4.945054945054945,0,0,0,0,0
1,149,22,5.818181818181818,0,0,0,0,0
1,590,108,4.472222222222222,0,0,1,0,0
3,1202,157,6.662420382165605,0,0,0,2,0
4,1594,246,5.483739837398374,0,0,2,1,0
1,881,166,4.313253012048193,0,0,1,0,0
1,1608,295,4.454237288135594,0,0,42,0,0
0,1602,273,4.871794871794871,0,0,0,7,0
0,440,75,4.88,0,0,0,0,0
1,862,153,4.640522875816994,0,0,1,0,0
2,308,69,3.4782608695652173,0,0,0,1,0
1,1999,365,4.47945205479452,0,0,0,12,0
1,1648,232,6.107758620689655,0,0,0,1,0
1,447,84,4.333333333333333,0,0,0,1,0
2,453,76,4.973684210526316,0,0,1,0,0
0,474,94,4.053191489361702,0,0,0,0,0
0,5,1,5.0,0,0,0,0,0
1,184,37,4.0,0,0,7,0,0
2,514,93,4.537634408602151,0,0,0,1,0
1,471,78,5.051282051282051,0,0,0,0,0
0,763,135,4.659259259259259,0,0,1,0,8
1,38,8,3.875,0,0,0,0,0
2,1831,325,4.636923076923077,0,0,1,2,0
1,423,89,3.764044943820225,0,0,0,4,2
0,265,48,4.541666666666667,0,0,0,0,0
2,1051,184,4.717391304347826,0,0,0,0,8
2,888,116,6.663793103448276,0,0,0,0,0
1,194,38,4.131578947368421,0,0,0,0,0
0,45,8,4.75,0,0,0,1,0
2,653,145,3.510344827586207,0,0,4,0,0
0,109,22,4.0,0,0,0,0,0
0,324,58,4.603448275862069,0,0,0,0,2
1,768,151,4.0927152317880795,0,0,0,1,0
1,797,121,5.595041322314049,0,0,0,0,0
2,4147,697,4.951219512195122,0,0,3,2,0
0,44,11,3.090909090909091,0,0,0,1,0
4,1163,198,4.878787878787879,0,0,4,0,0
0,47,11,3.3636363636363638,0,0,1,0,0
3,960,161,4.968944099378882,0,0,0,0,0
0,242,47,4.170212765957447,0,0,0,0,0
2,6963,1179,4.906700593723494,0,0,0,1,1
0,297,60,3.966666666666667,0,0,2,0,0
0,986,181,4.45303867403315,0,0,0,0,0
2,617,130,3.753846153846154,0,0,0,0,0
0,1044,169,5.183431952662722,0,0,0,1,0
2,994,177,4.621468926553672,0,0,0,2,0
